price,category,type,make,model,year,finish,condition,auction,shipping_cost,accepts_offers,date
29.99,solid-body,electric-guitars,Gibson,Guitar,,Sticker Pack,Brand New,False,15.00,True,2022-04-12T12:27:36+09:00
650.00,solid-body,electric-guitars,PRS,SE Custom with Stoptail Tailpiece,2005 - 2008,Gray Black,Mint,False,50.00,True,2022-04-12T12:20:06+09:00
25.00,solid-body,electric-guitars,Music Man,Ernie Ball,,Pearl Moto,Brand New,False,12.00,True,2022-04-12T12:18:07+09:00
320.07,solid-body,electric-guitars,Greco,SE-500 JAPAN,1981,Sunburst,Good,False,141.51,False,2022-04-12T12:12:28+09:00
1099.00,solid-body,electric-guitars,Fender,American Professional II Jazzmaster Left-Handed with Rosewood Fretboard,2020 - Present,Dark Night,Brand New,False,0.00,True,2022-04-12T12:11:00+09:00
656.99,solid-body,electric-guitars,Fender,Highway One Stratocaster with Maple Fretboard Relic processing,2002-2003,Honey Blonde Transparent,Fair,False,141.51,False,2022-04-12T12:07:53+09:00
11500.00,solid-body,electric-guitars,Fender,Telecaster Custom,1968,Sunburst,Good,False,400.00,True,2022-04-12T12:07:21+09:00
1250.00,solid-body,electric-guitars,Fender,MG-69 Mustang Reissue MIJ,,,Very Good,False,300.00,True,2022-04-12T12:07:20+09:00
1490.00,solid-body,electric-guitars,Gibson,SG Special with major upgrades,2017,Sunburst,Excellent,False,50.00,True,2022-04-12T12:03:53+09:00
1000.00,solid-body,electric-guitars,Epiphone,"Inspired by ""1955"" Les Paul Custom Outfit",2016 - 2019,Aged Gloss Ebony,Very Good,False,70.00,True,2022-04-12T12:01:52+09:00
325.00,solid-body,electric-guitars,Epiphone,SG Pro Custom Shop,2014,Black,Fair,False,1000.00,True,2022-04-12T11:57:46+09:00
1319.00,solid-body,electric-guitars,Gibson,Les Paul Studio without Fretboard Binding,2019,Wine Red,Excellent,False,65.00,True,2022-04-12T11:55:08+09:00
298.00,solid-body,electric-guitars,Jackson,JS34Q DKA-M Dinky Archtop with Maple Fretboard JS Series VG Cond,2015 - 2020,Transparent Red,Very Good,False,75.00,True,2022-04-12T11:53:25+09:00
500.00,solid-body,electric-guitars,ESP LTD,Viper-400,2007,Black,Very Good,False,65.00,True,2022-04-12T11:50:35+09:00
4995.00,solid-body,electric-guitars,Ibanez,JEM777-SK Steve Vai Signature with Edge Tremolo,1987 - 1989,Shocking Pink,Excellent,False,0.00,True,2022-04-12T11:48:38+09:00
2250.00,solid-body,electric-guitars,Fender,Ultra Luxe Stratocaster,2021,Two Tone Burst,Mint,False,150.00,True,2022-04-12T11:47:36+09:00
1100.00,solid-body,electric-guitars,PRS,SE Silver Sky,2022 - Present,Stone Blue,Mint,False,0.00,True,2022-04-12T11:42:13+09:00
4750.00,solid-body,electric-guitars,Teisco,Spectrum 5,1990's,Lucite,Excellent,False,395.00,True,2022-04-12T11:42:08+09:00
2100.00,solid-body,electric-guitars,Fender,Stratocaster,1971,Natural,Good,False,300.00,True,2022-04-12T11:40:18+09:00
4184.59,solid-body,electric-guitars,Gibson,Firebird X,2011 - 2013,Blue,Mint,False,56.72,False,2022-04-12T11:38:03+09:00
1424.00,solid-body,electric-guitars,Ibanez,AT100CL-SB Andy Timmons Signature Prestige Series Electric Guitar,2010s,Sunburst,Mint,False,200.00,True,2022-04-12T11:34:52+09:00
766.97,solid-body,electric-guitars,Schecter,2006,,,Brand New,False,410.43,False,2022-04-12T11:33:40+09:00
750.00,solid-body,electric-guitars,Fender,Stratocaster,2013,Metallic Wine,Mint,False,75.00,True,2022-04-12T11:32:54+09:00
280.00,solid-body,electric-guitars,Samick- Greg Bennett Design,Malibu,,Candy Apple Metallic Red Sparkle,Very Good,False,65.00,True,2022-04-12T11:32:39+09:00
3495.00,solid-body,electric-guitars,Ibanez,UV7S Steve Vai Signature Universe,1997,Black,Excellent,False,95.00,False,2022-04-12T11:32:17+09:00
280.00,solid-body,electric-guitars,DeArmond,M-65C,1999,Solar Bronze,Good,False,65.00,True,2022-04-12T11:32:16+09:00
750.00,solid-body,electric-guitars,Fender,Stratocaster,2014,Black,Very Good,False,0.00,True,2022-04-12T11:28:34+09:00
575.00,solid-body,electric-guitars,Squier,Deryck Whibley Telecaster Deluxe,,Black,Excellent,False,0.00,True,2022-04-12T11:28:10+09:00
575.00,solid-body,electric-guitars,Epiphone,'56 Les Paul Standard PRO,2014 - 2019,Metallic Gold,Excellent,False,0.00,True,2022-04-12T11:26:00+09:00
4675.00,solid-body,electric-guitars,Fender,Custom Shop Postmodern Telecaster Heavy Relic - Aztec Gold,,,Brand New,False,0.00,False,2022-04-12T11:25:03+09:00
229.99,solid-body,electric-guitars,Bruno Conqueror,SG,1960’s-1970’s,Cherry 🍒,Good,False,44.99,True,2022-04-12T11:24:12+09:00
1409.56,solid-body,electric-guitars,Fender,American Standard Stratocaster HH with Rosewood Fretboard,2014 - 2016,Black,Excellent,False,91.21,True,2022-04-12T11:24:10+09:00
1657.48,solid-body,electric-guitars,Schecter,1740,,,Brand New,False,410.43,False,2022-04-12T11:24:08+09:00
2200.00,solid-body,electric-guitars,Fender,Stratocaster,,Maple,Good,False,100.00,True,2022-04-12T11:20:17+09:00
500.00,solid-body,electric-guitars,Ibanez,JTK1-BRS Jet King I Electric Guitar,2003- 2005,Butterscotch,Good,False,0.00,True,2022-04-12T11:19:07+09:00
249.00,solid-body,electric-guitars,Cort,Z42 Zenox Series Single Cutaway,2010s,Brown Burst,Very Good,False,19.00,True,2022-04-12T11:18:25+09:00
1050.00,solid-body,electric-guitars,PRS,SE 277 BARITONE,2017,Tobacco Sunburst,Mint,False,100.00,False,2022-04-12T11:18:04+09:00
8500.00,solid-body,electric-guitars,Ibanez,JEM77 Steve Vai Signature Purple Multi Color,1991,Pmc,Very Good,False,150.00,True,2022-04-12T00:07:44-04:00
1900.00,solid-body,electric-guitars,Ibanez,Ibanez Prestige AZ2202A Electric Guitar,2020,Tri Burst,Mint,False,100.00,True,2022-04-12T00:07:33-04:00
1150.00,solid-body,electric-guitars,Gibson,Les Paul Studio without Fretboard Binding,2019 - Present,Smokehouse Burst,Excellent,False,0.00,True,2022-04-12T00:07:24-04:00
1800.00,solid-body,electric-guitars,EVH,Wolfgang HT,,Stealth Black,Good,False,200.00,True,2022-04-12T00:06:32-04:00
175.00,solid-body,electric-guitars,Squier Fender  Affinity series,Strat,$175,Black,Very Good,False,0.00,True,2022-04-12T00:03:46-04:00
7300.00,solid-body,electric-guitars,Fender,Jazzmaster,1966,Sunburst,Very Good,False,500.00,True,2022-04-11T23:58:40-04:00
5900.00,solid-body,electric-guitars,Gibson,Vintage Rare Kalamazoo 1979 Gibson Les Paul Custom Wine Finish Excellent Condition OHSC,1970's,,Excellent,False,120.00,True,2022-04-11T23:56:33-04:00
450.00,solid-body,electric-guitars,Cort,Effector,,Black,Good,False,169.00,True,2022-04-11T23:56:24-04:00
2150.00,solid-body,electric-guitars,Gibson,Firebird V,2015,Vintage Sunburst,Excellent,False,150.00,True,2022-04-11T23:52:25-04:00
2863.26,solid-body,electric-guitars,Fender,"American Original, ’60s, Jazzmaster, Rosewood Fingerboard",2021,Ocean Turquoise,Excellent,False,38.24,True,2022-04-11T23:46:21-04:00
950.00,solid-body,electric-guitars,Charvel,Pro-Mod DK24 HSS 2PT CM,,White,Excellent,False,45.00,True,2022-04-11T23:42:39-04:00
3400.00,solid-body,electric-guitars,Gibson,"The ""V"" original classic",1981,Brown,Good,False,150.00,True,2022-04-11T23:35:31-04:00
4500.00,solid-body,electric-guitars,Gibson,Flying V Custom,2019 - Present,Ebony,Very Good,False,100.00,True,2022-04-11T23:34:11-04:00
29.99,solid-body,electric-guitars,Gibson,Guitar,,Sticker Pack,Brand New,False,15.00,True,2022-04-11T23:27:36-04:00
650.00,solid-body,electric-guitars,PRS,SE Custom with Stoptail Tailpiece,2005 - 2008,Gray Black,Mint,False,50.00,True,2022-04-11T23:20:06-04:00
25.00,solid-body,electric-guitars,Music Man,Ernie Ball,,Pearl Moto,Brand New,False,12.00,True,2022-04-11T23:18:07-04:00
320.07,solid-body,electric-guitars,Greco,SE-500 JAPAN,1981,Sunburst,Good,False,141.51,False,2022-04-11T23:12:28-04:00
1099.00,solid-body,electric-guitars,Fender,American Professional II Jazzmaster Left-Handed with Rosewood Fretboard,2020 - Present,Dark Night,Brand New,False,0.00,True,2022-04-11T23:11:00-04:00
656.99,solid-body,electric-guitars,Fender,Highway One Stratocaster with Maple Fretboard Relic processing,2002-2003,Honey Blonde Transparent,Fair,False,141.51,False,2022-04-11T23:07:53-04:00
11500.00,solid-body,electric-guitars,Fender,Telecaster Custom,1968,Sunburst,Good,False,400.00,True,2022-04-11T23:07:21-04:00
1250.00,solid-body,electric-guitars,Fender,MG-69 Mustang Reissue MIJ,,,Very Good,False,300.00,True,2022-04-11T23:07:20-04:00
1490.00,solid-body,electric-guitars,Gibson,SG Special with major upgrades,2017,Sunburst,Excellent,False,50.00,True,2022-04-11T23:03:53-04:00
1000.00,solid-body,electric-guitars,Epiphone,"Inspired by ""1955"" Les Paul Custom Outfit",2016 - 2019,Aged Gloss Ebony,Very Good,False,70.00,True,2022-04-11T23:01:52-04:00
325.00,solid-body,electric-guitars,Epiphone,SG Pro Custom Shop,2014,Black,Fair,False,1000.00,True,2022-04-11T22:57:46-04:00
1319.00,solid-body,electric-guitars,Gibson,Les Paul Studio without Fretboard Binding,2019,Wine Red,Excellent,False,65.00,True,2022-04-11T22:55:08-04:00
298.00,solid-body,electric-guitars,Jackson,JS34Q DKA-M Dinky Archtop with Maple Fretboard JS Series VG Cond,2015 - 2020,Transparent Red,Very Good,False,75.00,True,2022-04-11T22:53:25-04:00
500.00,solid-body,electric-guitars,ESP LTD,Viper-400,2007,Black,Very Good,False,65.00,True,2022-04-11T22:50:35-04:00
4995.00,solid-body,electric-guitars,Ibanez,JEM777-SK Steve Vai Signature with Edge Tremolo,1987 - 1989,Shocking Pink,Excellent,False,0.00,True,2022-04-11T22:48:38-04:00
2250.00,solid-body,electric-guitars,Fender,Ultra Luxe Stratocaster,2021,Two Tone Burst,Mint,False,150.00,True,2022-04-11T22:47:36-04:00
1100.00,solid-body,electric-guitars,PRS,SE Silver Sky,2022 - Present,Stone Blue,Mint,False,0.00,True,2022-04-11T22:42:13-04:00
4750.00,solid-body,electric-guitars,Teisco,Spectrum 5,1990's,Lucite,Excellent,False,395.00,True,2022-04-11T22:42:08-04:00
2100.00,solid-body,electric-guitars,Fender,Stratocaster,1971,Natural,Good,False,300.00,True,2022-04-11T22:40:18-04:00
4184.59,solid-body,electric-guitars,Gibson,Firebird X,2011 - 2013,Blue,Mint,False,56.72,False,2022-04-11T22:38:03-04:00
1424.00,solid-body,electric-guitars,Ibanez,AT100CL-SB Andy Timmons Signature Prestige Series Electric Guitar,2010s,Sunburst,Mint,False,200.00,True,2022-04-11T22:34:52-04:00
766.97,solid-body,electric-guitars,Schecter,2006,,,Brand New,False,410.43,False,2022-04-11T22:33:40-04:00
750.00,solid-body,electric-guitars,Fender,Stratocaster,2013,Metallic Wine,Mint,False,75.00,True,2022-04-11T22:32:54-04:00
280.00,solid-body,electric-guitars,Samick- Greg Bennett Design,Malibu,,Candy Apple Metallic Red Sparkle,Very Good,False,65.00,True,2022-04-11T22:32:39-04:00
3495.00,solid-body,electric-guitars,Ibanez,UV7S Steve Vai Signature Universe,1997,Black,Excellent,False,95.00,False,2022-04-11T22:32:17-04:00
280.00,solid-body,electric-guitars,DeArmond,M-65C,1999,Solar Bronze,Good,False,65.00,True,2022-04-11T22:32:16-04:00
750.00,solid-body,electric-guitars,Fender,Stratocaster,2014,Black,Very Good,False,0.00,True,2022-04-11T22:28:34-04:00
575.00,solid-body,electric-guitars,Squier,Deryck Whibley Telecaster Deluxe,,Black,Excellent,False,0.00,True,2022-04-11T22:28:10-04:00
575.00,solid-body,electric-guitars,Epiphone,'56 Les Paul Standard PRO,2014 - 2019,Metallic Gold,Excellent,False,0.00,True,2022-04-11T22:26:00-04:00
4675.00,solid-body,electric-guitars,Fender,Custom Shop Postmodern Telecaster Heavy Relic - Aztec Gold,,,Brand New,False,0.00,False,2022-04-11T22:25:03-04:00
229.99,solid-body,electric-guitars,Bruno Conqueror,SG,1960’s-1970’s,Cherry 🍒,Good,False,44.99,True,2022-04-11T22:24:12-04:00
1409.56,solid-body,electric-guitars,Fender,American Standard Stratocaster HH with Rosewood Fretboard,2014 - 2016,Black,Excellent,False,91.21,True,2022-04-11T22:24:10-04:00
1657.48,solid-body,electric-guitars,Schecter,1740,,,Brand New,False,410.43,False,2022-04-11T22:24:08-04:00
2200.00,solid-body,electric-guitars,Fender,Stratocaster,,Maple,Good,False,100.00,True,2022-04-11T22:20:17-04:00
500.00,solid-body,electric-guitars,Ibanez,JTK1-BRS Jet King I Electric Guitar,2003- 2005,Butterscotch,Good,False,0.00,True,2022-04-11T22:19:07-04:00
249.00,solid-body,electric-guitars,Cort,Z42 Zenox Series Single Cutaway,2010s,Brown Burst,Very Good,False,19.00,True,2022-04-11T22:18:25-04:00
1050.00,solid-body,electric-guitars,PRS,SE 277 BARITONE,2017,Tobacco Sunburst,Mint,False,100.00,False,2022-04-11T22:18:04-04:00
1293.48,solid-body,electric-guitars,Schecter,1808,,,Brand New,False,410.43,False,2022-04-11T19:17:25-07:00
430.00,solid-body,electric-guitars,Vintage,V120 Icon Series Single Cut,20,Distressed Black Over Cherry Red,Mint,False,30.00,True,2022-04-11T19:13:11-07:00
900.00,solid-body,electric-guitars,Jackson,Pro Series SL2Q MAH Soloist,2010s,Northern Lights,Very Good,False,50.00,True,2022-04-11T19:12:23-07:00
850.00,solid-body,electric-guitars,Ibanez,540R LTD,1991,Red,Very Good,False,75.00,True,2022-04-11T19:12:00-07:00
850.00,solid-body,electric-guitars,ESP LTD,MH-1000 Evertune with Rosewood Fretboard,2013 - 2016,Black,Very Good,False,0.00,True,2022-04-11T19:11:28-07:00
2500.00,solid-body,electric-guitars,Gibson,Melody Maker D,1961 - 1963,Sunburst,Good,False,0.00,True,2022-04-11T19:09:48-07:00
2000.00,solid-body,electric-guitars,Fender,American HSS Stratocaster with Floyd Rose,2008,Sunburst,Excellent,False,0.00,True,2022-04-11T19:08:55-07:00
5551.79,solid-body,electric-guitars,Gibson,Zakk Wylde Les Paul Custom,1999 - 2016,Bullseye,Mint,False,53.31,False,2022-04-11T19:07:07-07:00
2835.86,solid-body,electric-guitars,Fender,Custom Shop Eric Clapton Signature Stratocaster,2012,Black,Mint,False,56.72,True,2022-04-11T19:05:43-07:00
1649.95,solid-body,electric-guitars,Shergold,Masquerader Custom,1977,Black,Very Good,False,450.00,True,2022-04-11T19:03:22-07:00
4500.00,solid-body,electric-guitars,Gibson,Les Paul Custom,2001,Ebony / Black,Excellent,False,0.00,True,2022-04-11T19:02:39-07:00
1277.77,solid-body,electric-guitars,Fender,American Elite Stratocaster,2015,Olympic Pearl,Very Good,False,67.77,True,2022-04-11T18:59:43-07:00
766.97,solid-body,electric-guitars,Schecter,2008,,,Brand New,False,410.43,False,2022-04-11T18:58:52-07:00
1600.00,solid-body,electric-guitars,Fender,Yngwie Malmsteen Artist Series Stratocaster,2015,,Excellent,False,65.00,False,2022-04-11T18:56:19-07:00
4599.99,solid-body,electric-guitars,Jackson,USA Custom Shop RR1 Randy Rhoads - Snow White,,,Brand New,False,100.00,False,2022-04-11T18:56:10-07:00
950.00,solid-body,electric-guitars,ESP LTD,Snakebyte James Hetfield Signature,,Black,Mint,False,0.00,True,2022-04-11T18:52:06-07:00
785.00,solid-body,electric-guitars,Fender,FSR Standard Telecaster Ash,2004 - 2008,Natural,Excellent,False,0.00,True,2022-04-11T18:40:51-07:00
695.00,solid-body,electric-guitars,Fender,Classic Series '60s Stratocaster Warmoth Neck CS 69 pickups,,Candy Apple Red,Excellent,False,45.00,True,2022-04-11T18:40:31-07:00
300.00,solid-body,electric-guitars,Harley Benton,DC JR.,2020,Pelham Blue,Excellent,False,0.00,True,2022-04-11T18:40:03-07:00
850.00,solid-body,electric-guitars,Fender,Special Edition Custom Telecaster FMT HH,2016 - 2018,,Very Good,False,100.00,True,2022-04-11T18:38:12-07:00
3132.90,solid-body,electric-guitars,Gibson,Guitar Of The Week #48 RD Standard Reissue,2007,Silverburst,Good,False,163.53,True,2022-04-11T18:37:05-07:00
800.00,solid-body,electric-guitars,Fender,Special Edition Deluxe Ash Telecaster,2011 - 2019,Butterscotch Blonde,Mint,False,69.00,True,2022-04-11T18:36:01-07:00
1899.00,solid-body,electric-guitars,PRS,McCarty,1994 - 2007,Dark Cherry Sunburst,Good,False,65.00,True,2022-04-11T18:34:38-07:00
280.00,solid-body,electric-guitars,Ibanez,Art120,,Alpine White,Good,False,60.00,True,2022-04-11T18:33:24-07:00
25.12,solid-body,electric-guitars,Fender,Stratocaster,,52mm Chrome Pickup Covers,Brand New,False,15.00,True,2022-04-11T18:31:48-07:00
900.00,solid-body,electric-guitars,Reverend,Charger 290,,,Excellent,False,100.00,True,2022-04-11T18:31:17-07:00
800.00,solid-body,electric-guitars,Parker,P36,,,Excellent,False,75.00,True,2022-04-11T18:30:49-07:00
1250.00,solid-body,electric-guitars,Ibanez,RG1070PBZ-CBB RG Premium Series HSH Poplar Burl Top Electric Guitar with Zero-Edge II Tremolo,2010s,Cerulean Blue Burst,Mint,False,0.00,False,2022-04-11T18:30:28-07:00
469.00,solid-body,electric-guitars,Squier,Contemporary Active Jazzmaster HH Stop Tail with Laurel Fretboard,2018 - Present,Surf Pearl,Excellent,False,0.00,True,2022-04-11T18:29:23-07:00
2999.99,solid-body,electric-guitars,Gretsch,G6229TG- Ltd. Ed. Players Edition Sparkle Jet BT,2022,Champagne Sparkle,Brand New,False,65.00,False,2022-04-11T18:29:14-07:00
2500.00,solid-body,electric-guitars,Charvel,Charvel Nuno Bettencourt Prototype Very rare!,1992,Natural,Fair,False,30.00,True,2022-04-11T18:27:42-07:00
499.00,solid-body,electric-guitars,Washburn,WI64,2006,Gloss,Mint,False,79.00,True,2022-04-11T18:27:36-07:00
1100.00,solid-body,electric-guitars,ESP LTD,EC-1000T CTM,,,Excellent,False,100.00,True,2022-04-11T18:27:03-07:00
1150.00,solid-body,electric-guitars,Jackson,Randy Rhoads RR3,1997,Blue Swirl,Excellent,False,595.00,True,2022-04-11T18:21:38-07:00
4300.00,solid-body,electric-guitars,Gibson,Les Paul Custom,1990,Black,Fair,False,300.00,True,2022-04-11T18:21:12-07:00
2500.00,solid-body,electric-guitars,Ibanez,Steve Vai Signature UV777 Universe 7 Strings,2002,Black,Very Good,False,300.00,True,2022-04-11T18:20:25-07:00
749.00,solid-body,electric-guitars,Epiphone,'59 Les Paul Standard Outfit,2020 - Present,Aged Dark Cherry Sunburst,Mint,False,35.00,True,2022-04-11T18:20:19-07:00
1077.90,solid-body,electric-guitars,Fender,TL-52 Telecaster Reissue MIJ,,,Very Good,False,207.29,True,2022-04-11T18:20:11-07:00
2300.00,solid-body,electric-guitars,EVH,Special,2011,2 Tone Burst,Very Good,False,100.00,True,2022-04-11T18:19:50-07:00
3500.00,solid-body,electric-guitars,Epiphone,Wilshire,1966,Cherry,Excellent,False,100.00,True,2022-04-11T18:17:24-07:00
7500.00,solid-body,electric-guitars,Gibson,Custom Shop Historic Collection '57 Les Paul Custom Black Beauty,1993 - 2002,Ebony,Excellent,False,10000.00,True,2022-04-11T18:17:10-07:00
2000.00,solid-body,electric-guitars,Gibson,Les Paul,2014,Goldtop,Very Good,False,90.00,True,2022-04-11T18:16:11-07:00
3738.08,solid-body,electric-guitars,Gibson,Les Paul Custom,1990 - 2011,Alpine White,Good,False,273.14,False,2022-04-11T18:16:09-07:00
699.00,solid-body,electric-guitars,Fender,Deluxe Nashville Telecaster with Maple Fretboard,2017 - 2021,White Blonde,Mint,False,25.00,True,2022-04-11T18:15:10-07:00
424.15,solid-body,electric-guitars,Schecter,Omen Elite-6,2022,See Thru Blue Burst,B-Stock,False,0.00,True,2022-04-11T18:14:53-07:00
1499.00,solid-body,electric-guitars,Fender,Telecaster Pro II,2022,Sienna Burst,Mint,False,65.00,False,2022-04-11T18:14:44-07:00
599.00,solid-body,electric-guitars,Schecter,Hellraiser C-1,2006,Black Cherry,Mint,False,79.00,True,2022-04-11T18:11:33-07:00
180.00,solid-body,electric-guitars,Squier,Affinity Series Stratocaster,2008,Metallic Red,Excellent,False,40.00,False,2022-04-11T18:08:16-07:00
750.00,solid-body,electric-guitars,B.C. Rich,N.J. Neck-Thru Warlock,,See Through Natural Finish,Excellent,False,0.00,True,2022-04-11T18:06:57-07:00
800.00,solid-body,electric-guitars,Fender,CME Exclusive Player Jazzmaster,2021,Olive,Mint,False,35.00,True,2022-04-11T18:06:33-07:00
3954.91,solid-body,electric-guitars,Gibson,Les Paul Dark Knight,2019,Satin Trans Ebony Burst,Mint,False,51.05,False,2022-04-11T20:06:32-05:00
1690.00,solid-body,electric-guitars,Gibson,SG STANDARD WOLFTONE 50S HARNESS HARD CASE LOCKING TUNERS BUMBLEBEES,2021,Cherry,Excellent,False,375.00,True,2022-04-11T20:05:35-05:00
950.00,solid-body,electric-guitars,Gibson,SG Standard T,2016,Ebony,Good,False,350.00,True,2022-04-11T20:04:09-05:00
381.65,solid-body,electric-guitars,Schecter,Omen Extreme-6,2010s,Vintage Sunburst,B-Stock,False,0.00,False,2022-04-11T20:01:59-05:00
703.95,solid-body,electric-guitars,Schecter,3660,,,Brand New,False,410.43,False,2022-04-11T19:59:39-05:00
850.00,solid-body,electric-guitars,Ibanez,PS120-BK Paul Stanley Signature Series Electric Guitar,2010s,Black,Very Good,False,100.00,True,2022-04-11T19:57:26-05:00
1800.00,solid-body,electric-guitars,Ovation,Breadwinner,1972 - 1979,Charcoal,Very Good,False,248.00,True,2022-04-11T19:54:39-05:00
1400.00,solid-body,electric-guitars,Fender,American Professional II Deluxe Telecaster,,Olympic White,Very Good,False,50.00,False,2022-04-11T19:52:43-05:00
3000.00,solid-body,electric-guitars,Ibanez,DMM1,2006,,Mint,False,150.00,True,2022-04-11T19:49:03-05:00
339.15,solid-body,electric-guitars,Schecter,C-6 Elite,2022,Aquaburst,B-Stock,False,0.00,False,2022-04-11T19:48:14-05:00
949.00,solid-body,electric-guitars,Charvel,Pro-Mod DK24 HSS 2PT CM,2021,Burgundy Mist,Excellent,False,68.00,True,2022-04-11T19:47:37-05:00
1400.00,solid-body,electric-guitars,Ibanez,JS240PS-CA Joe Satriani Signature,2020,Candy Apple Red,Very Good,False,0.00,False,2022-04-11T19:45:28-05:00
2599.00,solid-body,electric-guitars,Gibson,Les Paul Standard,2008,Silver Burst,Very Good,False,249.00,True,2022-04-11T19:45:19-05:00
275.00,solid-body,electric-guitars,Squier,FSR Affinity Telecaster HH,2020 - 2021,Black On Black,Mint,False,40.00,True,2022-04-11T19:44:34-05:00
500.00,solid-body,electric-guitars,ESP LTD,H-408,,Black,Good,False,100.00,True,2022-04-11T19:44:27-05:00
3200.00,solid-body,electric-guitars,Gibson,RD Artist,1977 - 1982,Dark Sunburst,Fair,False,100.00,True,2022-04-11T19:42:56-05:00
750.00,solid-body,electric-guitars,Ibanez,RG1451,,Black,Good,False,100.00,True,2022-04-11T19:40:29-05:00
6200.00,solid-body,electric-guitars,Gibson,Les Paul Heritage Series Standard 1982,1982,Sunburst,Good,False,100.00,True,2022-04-11T19:40:11-05:00
750.00,solid-body,electric-guitars,PRS,SE Mark Holcomb,,,Very Good,False,100.00,True,2022-04-11T19:38:13-05:00
5000.00,solid-body,electric-guitars,ESP,M-1 Tiger George Lynch Signature,1997 - 2016,Yellow with Tiger Graphic,Mint,False,225.00,True,2022-04-11T19:37:27-05:00
1749.00,solid-body,electric-guitars,Fender,American Ultra Stratocaster,2020,Texas Tea,Excellent,False,50.00,True,2022-04-11T19:37:13-05:00
350.00,solid-body,electric-guitars,ESP LTD,EC-300,,Black,Good,False,100.00,True,2022-04-11T19:36:34-05:00
2200.00,solid-body,electric-guitars,Gretsch,G6128T Players Edition DS,2020 - Present,Sahara Metallic,Excellent,False,0.00,True,2022-04-11T19:36:21-05:00
525.00,solid-body,electric-guitars,Fender,Standard Telecaster,2006,Midnight Wine,Excellent,False,100.00,False,2022-04-11T19:34:14-05:00
1500.00,solid-body,electric-guitars,Gibson,Melody Maker,1964 - 1965,Cherry,Good,False,0.00,True,2022-04-11T19:32:58-05:00
1400.00,solid-body,electric-guitars,Fender,Yngwie Malmsteen US Signature Stratocaster,2020/2003,Vintage White,Very Good,False,60.00,True,2022-04-11T19:32:35-05:00
125.00,solid-body,electric-guitars,Applause,GTX 23,,,Poor,False,25.00,True,2022-04-11T19:31:54-05:00
339.15,solid-body,electric-guitars,Schecter,C-6 Plus,2010s,See Thru Cherry Burst,B-Stock,False,0.00,False,2022-04-11T19:31:31-05:00
749.95,solid-body,electric-guitars,Charvel,Desolation custom Floyd Rose,2000,Gloss Black,Very Good,False,189.95,True,2022-04-11T19:31:29-05:00
1650.00,solid-body,electric-guitars,Fender,American Series VG Stratocaster,2007,Black,Good,False,250.00,True,2022-04-11T19:30:09-05:00
389.00,solid-body,electric-guitars,Teisco,Audition,1960s,Tobacco Burst / Black,Good,False,35.00,True,2022-04-11T19:30:05-05:00
425.00,solid-body,electric-guitars,Westone,Spectrum GT,,Black,Good,False,100.00,True,2022-04-11T19:29:48-05:00
511.02,solid-body,electric-guitars,Vantage,1980’s Stratocaster,1980’s ,Gold,Very Good,False,102.20,True,2022-04-11T19:27:41-05:00
499.00,solid-body,electric-guitars,Squier,J Mascis Jazzmaster,2020,Vintage White,Excellent,False,75.00,False,2022-04-11T19:27:37-05:00
